;apk;paragraph;actual_contains_controller;contains_controller;token_list;spacy_results;spacy_results_bool;spacy_expected
4649;com.streema.simpleradio;"Language: English 
Terms of Service  /  Privacy Policy  /  Copyright Policy  /  AdChoices
© 2022 Streema, Inc. All rights reserved
This website uses cookies for analytics and personalization. Click here to learn more or change your cookie settings. By continuing to browse, you agree to our use of cookies.
×";True;True;['©', 'all rights reserved'];['Streema, Inc.'];True;True
4715;com.switcherryinc.switcherryandroidapp.vpn;This Privacy Policy covers the free and paid versions of Switcherry Software including the mobile and desktop applications, as well as the our websites, (collectively, the “Services“). The terms “Switcherry“, “We”, “Us” and “Our” include SWITCHERRY APPS FZE LLC, and our affiliates and subsidiaries. By using the Services, you agree to the terms and conditions of this Privacy Policy. Beyond the Privacy Policy, your use of the Services is also subject to our Terms of Service. Separate from our consumer applications, Switcherry licenses its technology to third party partners for integration with their applications. This Privacy Policy may also apply to our partner applications. However, this Privacy Policy does not apply to the extent that We only process Personal Information on behalf of our partners as part of third party partner products. To learn more about the processing of your Personal Information in that context, please refer to the relevant partner's privacy policy.;True;True;['“we”', '“our”', '“us”'];['Switcherry Software', 'Switcherry', 'SWITCHERRY APPS FZE LLC', 'Switcherry'];True;True
4733;com.switcherryinc.switcherryandroidapp.vpn;"To our third party service providers who provide services such as website hosting, payment processing, data analysis, information technology and related infrastructure provision, customer service, email delivery, fraud prevention, online advertising, auditing, and other services.
When you launch the Switcherry Software, we may also use your IP address, which we automatically delete after you stop using Switcherry Software, to derive your approximate (city-level) location. When you are using Switcherry Software, advertisers are prevented from seeing your IP address, however if you are using the free version of Switcherry Software we may share this approximate (city-level) location. If you are using the Switcherry Software Premium version this approximate city- level location will not be collected and will not be shared.
To a potential or actual acquirer, successor, or assignee as part of any reorganization, merger, sale, joint venture, assignment, transfer or other disposition of all or any portion of our business, assets or stock (including in bankruptcy or similar proceedings).
Again, we do not require you to provide us with any contact information in order to download or use our Switcherry Software product, we do not log or store your IP address after you stop using Switcherry Software, and we do not keep logs on your online activities. Therefore, we generally do not have Personal Information to share with law enforcement and generally do not have the data to provide in response to law enforcement requests. You can read our Transparency Report for more information on our responses to law enforcement requests.
However, we may share what Personal Information we do have if required to do so by law or in the good faith belief that such action is appropriate: (a) under applicable law, including laws outside your country of residence; (b) to comply with legal process; © to respond to requests from public and government authorities, including public and government authorities outside your country of residence; (d) to enforce our terms and conditions; (e) to protect our operations or those of any of our affiliates; (f) to protect our rights, privacy, safety or property, and/or that of our affiliates, you or others; and (g) to allow us to pursue available remedies or limit the damages that we may sustain.";False;True;['©'];[];False;False
4930;com.ticktick.task;"Products
Get Started
Download Apps
Premium
Education Offer
Gift Cards
Support
Help Center
FAQ
Translations
Resources
URL Scheme
Refer Friends & Earn
Integrations
Ambassador Program
About
About Us
Blog
Media
Legal
Terms
Privacy
License
Security
English
© 2022 TickTick Team";True;True;['©'];[];False;True
4934;com.tonyrobbins.breakthrough;Thank you for visiting our website (“Site”).  Robbins Research International (“RRI” or the “Company”) is committed to treating the personal and corporate information of our Site users, customers, and vendors with respect and sensitivity.;True;True;['“company”', '“site”'];['Robbins Research International', 'RRI'];True;True
5048;com.tonyrobbins.breakthrough;© 2022 Robbins Research International, Inc. All rights reserved.;True;True;['©', 'all rights reserved'];['Robbins Research International, Inc.'];True;True
5050;com.vettv;"BROWSE FORUMS SEARCH SUBMIT DONATE SHOP
SUBSCRIBE
SIGN IN
PRIVACY POLICY
PRIVACY NOTICE
Last updated June 01, 2021
Thank you for choosing to be part of our community at Veteran Entertainment Television (""Company,"" ""we,"" ""us,"" or ""our""). We are committed to protecting your personal information and your right to privacy. If you have any questions or concerns about this privacy notice or our practices with regard to your personal information, please contact us at admin@veterantv.com.
This privacy notice describes how we might use your information if you:
Visit our website at http://www.veterantv.com 
Engage with us in other related ways ― including any sales, marketing, or events
In this privacy notice, if we refer to:
""Website,"" we are referring to any website of ours that references or links to this policy
""Services,"" we are referring to our Website, and other related services, including any sales, marketing, or events
The purpose of this privacy notice is to explain to you in the clearest way possible what information we collect, how we use it, and what rights you have in relation to it. If there are any terms in this privacy notice that you do not agree with, please discontinue use of our Services immediately.";True;True;"['""our""', '""our""']";['Veteran Entertainment Television'];True;True
5090;com.vitotechnology.SolarWalkLite;Here at Vito Technology, our number one goal is to provide you with fun and exciting products and content, all while safeguarding your Personal information (in accordance with the definition of this term below). Vito Technology, Inc. and its affiliates (collectively, the “Vito Technology”) has created this privacy statement in order to inform you about our information gathering, processing and dissemination practices relating to our websites, applications, products and related services (collectively, the “Services”). By accessing and/or using our Services you accept this Privacy Policy and signify your understanding, acceptance of and agreement with the terms, conditions and notices contained or referenced herein. If you do not agree with this Privacy Policy, please do not accept or use our Services.;True;True;['“services”'];['Vito Technology', 'Vito Technology, Inc.'];True;True
5148;com.vitotechnology.SolarWalkLite;"Privacy Policy
Terms of Use
© 2022 Vito Technology, Inc.
Vito Technology site uses cookies to ensure you get the best user experience. More Info
Got it!";True;True;['©'];['Vito Technology, Inc.'];True;True
5152;com.viz.wsj.android;"This privacy policy (""Policy"") describes the privacy practices for websites owned and operated by VIZ Media, LLC (""VIZ Media"", ""we"", ""us"", and ""our"") and VIZ Media's mobile websites, smart phone applications, programming, and services (each, a ""Site"" and collectively, the ""Sites"").";True;True;"['""we""', '""us""', '""our""', '""us""', '""our""', '""we""', '""site""', '""sites""']";"['VIZ Media, LLC', 'VIZ Media', ""VIZ Media's""]";True;True
5250;com.viz.wsj.android;"If you are a California resident who has provided personal information to VIZ Media, LLC (""VIZ Media"", ""we"", ""us"", and ""our""), or a California resident that reasonably believes that VIZ Media collected or stores their personal information, you may exercise your rights under the CCPA and submit your requests in one of the following methods: (a) by submitting this online form; or (b) by calling the following toll free number: 1-888-226-0650.";True;True;"['""we""', '""us""', '""our""', '""us""', '""our""', '""we""']";['VIZ Media, LLC', 'VIZ Media', 'VIZ Media'];True;True
5281;com.washingtonpost.android;"This Privacy Policy (or “Policy”) explains how WP Company LLC (“The Washington Post,” “we,” or “us”) collects, uses, and shares information about you when you use our sites, mobile and tablet apps, and other online products and services that link to this Policy; subscribe to our print newspaper; receive our emails and newsletters; and attend our events (collectively, the “Services”) or when you otherwise interact with us or receive a communication from us related to the Services. For certain Services we may provide you with additional privacy information that supplements this Policy. Other Washington Post services may refer to a different privacy policy, and for those products or services this Policy does not apply.";True;True;['“us”', '“services”'];['WP Company LLC', 'Washington Post'];True;True
5372;com.washingtonpost.android;"Company
About The Post
Newsroom Policies & Standards
Diversity and Inclusion
Careers
Media & Community Relations
WP Creative Group
Accessibility Statement
Get The Post
Become a Subscriber
Gift Subscriptions
Mobile & Apps
Newsletters & Alerts
Washington Post Live
Reprints & Permissions
Post Store
Books & E-Books
Newspaper in Education
Print Archives (Subscribers Only)
e-Replica
Today’s Paper
Contact Us
Contact the Newsroom
Contact Customer Care
Contact the Opinions team
Advertise
Licensing & Syndication
Request a Correction
Send a News Tip
Report a Vulnerability
Terms of Use
Digital Products Terms of Sale
Print Products Terms of Sale
Terms of Service
Privacy Policy
Cookie Settings
Submissions & Discussion Policy
RSS Terms of Service
Ad Choices
washingtonpost.com © 1996-2022 The Washington Post";True;True;['©'];['The Washington Post'];True;True
5451;com.wavve.boating.gps;Copyright © 2022. Web Design by WebMarketers Wavve Boating Inc;True;True;['©'];['WebMarketers Wavve Boating Inc'];True;True
5453;com.wci.ny;Winners Chapel International, New York built the WCINY app as a Free app. This SERVICE is provided by Winners Chapel International, New York at no cost and is intended for use as is.;True;True;['at no cost and is intended for use'];['Winners Chapel International', 'WCINY', 'Winners Chapel International'];True;True
5489;com.weather.forecast.weatherchannel;"1.5    In this policy, ""we"", ""us"" and ""our"" refer to TOHSOFT CO., LTD d/b/a .";True;True;"['""we""', '""us""', '""our""', '""us""', '""our""', '""we""']";['TOHSOFT CO.,'];True;True
5612;com.wgxa.android.weather;"
Thank you for visiting this website, application or other digital platform. This Privacy Statement applies to all websites, applications and other digital platforms (collectively, the “Sites”) linking to it and operated by, Sinclair Broadcast Group, Inc. (“Sinclair”) or any one of its affiliates. This Site is one of a network of ad-supported Sites operated by Sinclair (each a “Sinclair Affiliate Site” and, collectively, the “Sinclair Network of Sites”). Each Sinclair Affiliate Site has adopted this Privacy Statement to the extent applicable and/or unless otherwise indicated. “Affiliate” means a company controlling, controlled by or under common control with another company, or a company which shares common management.";True;True;['“sites”'];['Sinclair Broadcast Group, Inc.', 'Sinclair', 'Sinclair', 'Sinclair Affiliate Site'];True;True
5613;com.wgxa.android.weather;"This Privacy Statement is provided by the Sinclair Affiliate that operates this Site (“we,” “us” or “our”) to explain the ways in which we collect personal information from you through your use of this Site and any services offered through this Site and any of our applications or other Sites (collectively, the “Service”), and the ways that we (and the other Sinclair Affiliate Sites, as applicable) may use that personal information.
Please read this Privacy Statement carefully so that you understand our online privacy practices. By using our Service, you acknowledge that your use, and any dispute over our online privacy practices, is governed by this Privacy Statement and our Terms and Conditions. If you have any questions regarding web privacy, please contact us.";True;True;['“our”', '“us”', '“service”'];['Sinclair Affiliate', 'Sinclair Affiliate Sites'];True;True
5768;com.wgxa.android.weather;"PRIVACY POLICY
 
TERMS & CONDITIONS
 
COPYRIGHT
 
COOKIE POLICY
© 2022 Sinclair Broadcast Group";True;True;['©'];['Sinclair Broadcast Group'];True;True
5772;com.wsandroid.suite;McAfee Enterprise, care deeply about privacy, security, and online safety, all of which are a significant part of our essential mission: to protect users of our products and services (“you” and “your”) from the risks of theft, disruption, and unauthorized access to their online information and activities. This Privacy Notice (“Notice”) is designed to inform you about how we collect, use, and share your personal data through our website (our “Site”), Enterprise products, services, and web-based and mobile applications (collectively, the “Products and Services”) or when you interact with us.;True;True;['“site”'];['McAfee Enterprise'];True;True
5846;com.wsandroid.suite;Our websites and mobile apps (collectively, the “Services”) use cookies and similar technologies to ensure that we give our visitors the best possible experience by providing you personalized information, remembering your marketing and product preferences, and helping you obtain the right information. This Notice describes how McAfee Enterprise, our affiliates, and our partners use cookies and similar technologies for these purposes.;True;True;['“services”'];['McAfee Enterprise'];True;True
5873;com.wsandroid.suite;"Back to top
Chat-Offline
Business Home
About Us
Legal
Twitter
LinkedIn
YouTube
Blog
New to McAfee Enterprise?
What Is MVISION?
Cloud Security Products
Endpoint Protection Products
Explore Products
Explore Services
Skyhigh
Skyhigh Networks
Resources
Enterprise Support
Product Downloads
Product Documentation
Shop Online
Renew Products
Partner Portal Login
Free Trials
Free Tools
Connect with Us
Contact Us
Find a Partner
Partners
MPOWER
Events
Webinars
About McAfee Enterprise
About Us
Latest News
Diversity & Inclusion
Careers
Blogs
United States / English
Privacy
Legal
Terms of Service
Site Map
Copyright ©2022 Musarubra US LLC";True;True;['©'];['Musarubra US LLC'];True;True
5997;com.zodiactouch;"Freshdesk
We use the customer service system Freshdesk (hereinafter referred to as “Freshdesk”), a service of Freshworks Inc. (1250 Bayhill Drive, Suite 315, San Bruno, CA 94066, USA; hereinafter referred to as “Freshworks”), to accept and manage contact requests. When you contact us (via contact form or email), your details will be stored in Freshdesk for processing the contact request.";False;True;['(hereinafter'];['Freshdesk', 'Freshdesk', 'Freshdesk', 'Freshworks Inc.', 'Freshworks', 'Freshdesk'];True;True
6001;com.zodiactouch;"Freshchat
We furthermore use the Freshchat tool (hereinafter referred to as “Freshchat”), which is also a service of Freshworks Inc. (1250 Bayhill Drive, Suite 315, San Bruno, CA 94066, USA; hereinafter referred to as “Freshworks”), to contact us quickly and easily. Through Freshchat you can communicate with us via live chat without providing any personal information of your own. When using live chat, the chat history and your IP address are transmitted to Freshworks and stored on their servers in the USA.";False;True;['(hereinafter'];['Freshchat', 'Freshchat', 'Freshworks Inc.', 'Freshworks', 'Freshchat', 'Freshworks'];True;True
6105;com.zodiactouch;"Facebook and Instagram
Name and address of the main controller: Facebook Ireland Ltd., 4 Grand Canal Square Grand Canal Harbour, Dublin 2, Ireland - (hereinafter ‘Facebook’)";True;True;['(hereinafter'];['Facebook', 'Instagram', 'Facebook Ireland Ltd.', 'Facebook'];True;True
6110;com.zodiactouch;"Home
  Privacy policy
ABOUT ZODIAC PSYCHICS
About Us
Your safety & security matters
Customer Support
Refund policy
Site Map
HOW IT WORKS
Getting Started
How to find an advisor
What to ask
Your first few minutes
Refund policy
Articles
HOW WE CAN HELP
FAQ
Find a Psychic
Become a Zodiac Psychic
Contact Us
 
© 2022 ZodiacPsychics.com is operated by adviqo Services LLC.
* All prices are listed in $ credits. One $ credit is equivalent to $1 USD. Psychics are not employees or representatives of Zodiac Psychics.
WE ACCEPT
   
 
 
Use of this site is subject to the Terms of Use Privacy Policy Disclaimer
Cookies & Privacy
Our website uses cookies. By continuing to browse this website you are agreeing to our privacy policy
Learn more
Accept";True;True;['©'];['adviqo Services LLC'];True;True
6228;fr.telemaque.voyance;Copyright © - All rights reserved;False;True;['©', 'all rights reserved'];[];False;False
6245;net.elvista.checkers;"This Privacy Policy applies to all of the products, software, services and Web sites offered by Elvista. In this Privacy Policy, references to ""we"", ""our"" and ""us"" refer to Elvista while ""you"" and ""your"" refer to the Elvista customer or user.";True;True;"['""we""', '""us""', '""our""', '""us""', '""our""', '""we""']";['Elvista', 'Elvista', 'Elvista'];True;True
6289;net.peakgames.mobile.android.tavlaplus.android;Zynga develops and publishes social games for web and mobile devices. “Zynga,” “we,” “our,” or “us” in this Privacy Policy refers to Zynga Inc. and any other corporate entities under common ownership with Zynga Inc., including without limitation Zynga Game Ireland Limited (“Affiliated Entities”).;True;True;['“us”'];['Zynga', 'Zynga', 'Zynga Inc.', 'Zynga Inc.', 'Zynga Game Ireland Limited'];True;True
6453;net.peakgames.mobile.android.tavlaplus.android;"Zynga is a leading developer of the world's most popular social games that are played by millions of people around the world each day.
SUPPORT CONTACT PRIVACY TERMS OF SERVICE COOKIES SECURITY U.S. JOB APPLICANT PRIVACY NOTICE OUTSIDE U.S. JOB APPLICANT PRIVACY NOTICE
 
 
 
©2021 ZYNGA INC. ALL RIGHTS RESERVED";True;True;['©', 'all rights reserved'];['ZYNGA INC.'];True;True
6460;org.pbskids.gamesapp;"This privacy policy (""Privacy Policy"") describes how we use, share, and protect information that we collect from you and your child, who may be under the age of 13 or 18, through websites, applications, or online services that PBS KIDS operates or that link to this Privacy Policy (collectively, the ""Services""). This Privacy Policy applies only to the Services.";True;True;"['""services""']";['PBS KIDS'];True;True
6493;org.pbskids.gamesapp;Copyright © 1995-2021 Public Broadcasting Service (PBS). All rights reserved.;True;True;['©', 'all rights reserved'];['Public Broadcasting Service', 'PBS'];True;True
6496;org.rethinkgroup.parentcuepaid;"
The policy below describes RT 's privacy practices for the Sites and the Services (defined below), including the Site or Service you are currently accessing. The websites (individually a ""Site "", and collectively, the ""Sites ""), mobile applications, and software (individually a ""Service "", and collectively, the ""Services "") operated by The reThink Group, Inc. ( ""RT "" or ""we "" or ""us"") are intended to provide resources and tools to assist churches and families help children discover and embrace a growing relationship with Jesus Christ. Many of the Sites and Services are directed at church leaders, with some aspects directed at parents and families as well.";True;True;"['""us""', '""us""']";['RT', 'The reThink Group, Inc.', 'RT'];True;True
6546;org.rethinkgroup.parentcuepaid;"Explanation and access to your Personal Data: You have the right to be informed about your Personal Data RT has in its possession. You also have the right to request a copy of all Personal Data in RT 's possession if RT collected such Personal Data based on consent or because it is required to provide a service that you requested from RT.
Data Deletion: You may request the deletion of your account and all Personal Data in our possession. RT may retain certain Personal Data if required by law or for legitimate business purposes as permitted by GDPR.
Data Correction: If you believe in Personal Data in RT 'S possession is inaccurate, you may request correction of such Personal Data.
Objections:
© 2000-2022 The reThink Group, Inc. | All Rights Reserved";True;True;['©', 'all rights reserved'];['The reThink Group, Inc.'];True;True
6757;theme.fantasy.ringtone.color.call;Didi Hang built the Fantasy Color Call app as a Free app. This SERVICE is provided by Didi Hang at no cost and is intended for use as is.;True;True;['at no cost and is intended for use'];['Didi Hang'];True;True
